epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.1787,0.95923,2.50773,1.32337,0.67904,0.6,0.66307,0.50266,0.94729,1.99653,1.42352,3.334e-05,3.334e-05,3.334e-05
2,64.1134,0.62349,1.29467,1.03254,0.69889,0.85,0.75078,0.59591,0.98226,2.33947,1.623,8.25248e-05,8.25248e-05,8.25248e-05
3,96.0118,0.54992,0.98868,1.00025,0.67737,0.78088,0.75722,0.60526,0.89366,3.33903,1.43833,0.000130719,0.000130719,0.000130719
4,128.154,0.4778,0.66203,0.97334,0.6406,0.825,0.64071,0.54585,1.05358,4.07876,1.70036,0.000177924,0.000177924,0.000177924
5,159.005,0.49917,0.6405,0.96448,0.59055,0.75,0.60198,0.44984,1.4271,3.24776,2.17014,0.000224138,0.000224138,0.000224138
6,190.055,0.49767,0.64417,0.93742,0.53503,0.825,0.56632,0.40206,1.48578,5.65618,2.17222,0.000269362,0.000269362,0.000269362
7,221.157,0.49246,0.57951,0.94817,0.59294,0.81158,0.63367,0.38972,1.56204,7.24363,2.30413,0.000313596,0.000313596,0.000313596
8,252.043,0.46264,0.5309,0.94228,0.6285,0.78641,0.65369,0.4044,1.47535,5.90805,2.17484,0.00035684,0.00035684,0.00035684
9,283.156,0.44264,0.52916,0.94526,0.69367,0.76884,0.71695,0.4675,1.23322,2.73935,1.84112,0.000399093,0.000399093,0.000399093
10,314.357,0.47186,0.53967,0.9225,0.59921,0.725,0.64093,0.43173,1.08606,3.8607,1.77663,0.000440356,0.000440356,0.000440356
11,345.612,0.51001,0.58208,0.96626,0.49921,0.6936,0.45629,0.30967,1.38898,13.7147,2.67824,0.000480629,0.000480629,0.000480629
12,376.815,0.47035,0.53531,0.92577,0.50599,0.83468,0.51381,0.32296,1.34622,16.567,2.37855,0.000519912,0.000519912,0.000519912
13,407.45,0.45734,0.50306,0.92526,0.55384,0.925,0.61339,0.30624,1.71793,7.4257,2.9929,0.000558205,0.000558205,0.000558205
14,438.088,0.49396,0.61899,0.95453,0.5733,0.82537,0.58995,0.30315,1.8509,8.19699,3.49057,0.000595507,0.000595507,0.000595507
15,468.743,0.49276,0.54074,0.96501,0.48146,0.75,0.66048,0.33419,1.52861,8.3954,2.7622,0.00063182,0.00063182,0.00063182
16,499.313,0.49009,0.56812,0.92359,0.45702,0.79759,0.59698,0.35748,1.49572,8.15939,2.3954,0.000667142,0.000667142,0.000667142
17,529.962,0.47563,0.46483,0.92492,0.47839,0.65,0.53079,0.2555,1.62287,12.7814,2.75208,0.000701474,0.000701474,0.000701474
